Value,Emotion,Time_Mins_Secs
2,anger,00:11:00
3,anger,00:12:52
3,anger,00:06:11
2,anger,00:06:39
3,anger,00:09:03
7,anger,00:32:05
7,anger,00:28:34
1,anger,00:06:28
4,anger,00:05:36
2,anger,00:13:20
4,anger,00:06:06
6,anger,00:24:05
3,anger,00:07:39
5,anger,00:07:03
2,anger,00:08:19
2,anger,00:07:55
1,anger,00:04:24
6,anger,00:05:25
3,anger,00:06:10
7,anger,00:07:08
3,anger,00:11:29
8,anger,00:06:13
5,anger,00:26:13
5,anger,00:06:09
1,anger,00:21:54
8,anger,00:06:51
4,anger,00:08:09
6,anger,00:08:09
3,anger,00:13:12
6,anger,00:18:39
7,anger,00:05:57
1,anger,00:08:57
5,anger,00:05:51
6,anger,00:11:09
6,anger,00:06:44
1,anger,00:06:34
2,anger,00:10:29
7,anger,00:13:55
5,anger,00:08:45
6,anger,00:05:55
3,anger,00:07:28
3,anger,00:17:20
3,anger,00:11:31
2,anger,00:07:32
3,anger,00:11:04
1,anger,00:10:06
5,anger,00:11:18
1,anger,00:06:25
7,anger,00:19:30
4,anger,00:10:34
3,anger,00:06:54
7,anger,00:11:18
2,anger,00:06:33
3,anger,00:06:58
4,anger,00:08:00
2,anger,00:08:01
1,anger,00:05:36
7,anger,00:05:02
4,anger,00:09:03
6,anger,00:04:34
6,anger,00:13:07
2,anger,00:04:44
2,anger,00:06:16
2,anger,00:07:45
2,anger,00:08:39
5,anger,00:20:41
4,anger,00:10:15
4,anger,00:07:08
8,anger,00:06:19
3,anger,00:03:53
1,anger,00:11:59
6,anger,00:06:48
1,anger,00:04:59
3,anger,00:08:28
9,anger,00:05:16
2,anger,00:12:14
6,anger,00:08:36
6,anger,00:18:52
6,anger,00:04:47
2,anger,00:05:24
6,anger,00:03:45
6,anger,00:06:58
6,anger,00:11:00
6,anger,00:15:54
1,anger,00:08:12
7,anger,00:05:18
8,anger,00:08:25
6,anger,00:04:58
2,anger,00:18:46
2,anger,00:20:26
5,anger,00:07:19
4,anger,00:14:46
1,anger,00:04:44
1,anger,00:07:29
1,anger,00:05:42
4,anger,00:05:55
1,anger,00:07:54
6,anger,00:04:47
4,anger,00:06:26
3,anger,00:10:11
4,anger,00:08:06
7,anger,00:07:56
4,anger,00:04:23
7,anger,00:06:24
1,anger,00:06:08
7,anger,00:04:28
2,anger,00:07:35
4,anger,00:09:58
3,anger,00:09:12
4,anger,00:09:18
4,anger,00:07:32
2,anger,00:06:44
3,anger,00:05:23
1,anger,00:11:33
3,anger,00:08:18
7,anger,00:10:04
2,anger,00:10:39
1,anger,00:05:14
3,anger,00:07:12
6,anger,00:06:17
4,anger,00:04:55
7,anger,00:14:41
6,anger,00:07:36
8,anger,00:05:32
1,anger,00:05:46
3,anger,00:22:37
7,anger,00:06:48
6,anger,00:10:20
3,anger,00:22:00
8,anger,00:06:50
7,anger,00:08:51
6,anger,00:09:30
1,anger,00:06:56
6,anger,00:08:29
1,anger,00:11:42
8,anger,00:05:03
6,anger,00:04:51
4,anger,00:08:56
1,anger,00:04:08
2,anger,00:03:27
3,anger,00:07:26
3,anger,00:05:09
3,anger,00:04:39
3,anger,00:05:50
3,anger,00:09:34
4,anger,00:10:56
1,anger,00:10:49
2,anger,00:09:05
8,anger,00:03:45
2,anger,00:05:09
8,anger,00:06:20
5,anger,00:08:31
6,anger,00:09:27
1,anger,00:11:19
6,anger,00:17:10
6,anger,00:06:12
1,anger,00:04:30
7,anger,00:06:25
2,anger,00:05:09
1,anger,00:08:37
6,anger,00:08:01
7,anger,00:05:08
7,anger,00:14:15
3,anger,00:11:31
8,anger,00:23:20
1,anger,00:05:46
5,anger,00:11:48
1,anger,00:08:13
2,anger,00:07:15
6,anger,00:04:46
3,anger,00:20:16
1,anger,00:07:03
1,anger,00:08:47
2,anger,00:13:09
2,anger,00:07:10
6,anger,00:06:35
7,anger,00:05:37
1,anger,00:04:50
4,anger,00:09:58
5,anger,00:10:54
8,anger,00:10:01
1,anger,00:06:41
3,anger,00:06:55
1,anger,00:08:20
4,anger,00:06:06
3,anger,00:07:07
3,anger,00:06:38
6,anger,00:13:31
3,anger,00:07:56
2,anger,00:05:46
5,anger,00:08:11
3,anger,00:07:22
4,anger,00:06:00
6,anger,00:03:49
2,anger,00:09:31
2,anger,00:05:16
6,anger,00:06:06
3,anger,00:10:19
2,anger,00:10:14
7,anger,00:04:46
2,anger,00:10:08
4,anger,00:18:43
1,anger,00:06:54
4,anger,00:09:08
3,anger,00:08:51
1,anger,00:18:46
5,anger,00:04:56
2,anger,00:08:37
1,anger,00:04:29
6,anger,00:10:03
3,anger,00:07:25
4,anger,00:11:49
7,anger,00:05:19
7,anger,00:05:09
2,anger,00:10:28
9,anger,00:07:27
2,anger,00:10:30
1,anger,00:07:17
3,anger,00:05:38
6,anger,00:08:50
1,anger,00:07:13
4,anger,00:08:35
1,anger,00:08:36
4,anger,00:16:11
1,anger,00:06:14
5,anger,00:06:14
2,anger,00:11:47
6,anger,00:05:13
2,anger,00:06:22
4,anger,00:09:06
1,anger,00:05:22
5,anger,00:18:01
2,anger,00:13:46
7,anger,00:09:29
4,anger,00:05:41
6,anger,00:07:34
6,anger,00:06:26
6,anger,00:05:30
4,anger,00:19:58
8,anger,00:10:12
2,anger,00:18:36
4,anger,00:07:37
3,anger,00:06:04
4,anger,00:04:50
3,anger,00:06:46
7,anger,00:06:30
7,anger,00:04:37
3,anger,00:05:59
5,anger,00:04:31
3,anger,00:10:46
6,anger,00:04:15
8,anger,00:07:03
6,anger,00:16:29
1,anger,00:11:35
7,anger,00:05:53
5,anger,00:14:46
2,anger,00:05:46
3,anger,00:07:08
2,anger,00:05:55
2,anger,00:06:35
7,anger,00:15:22
6,anger,00:06:14
1,anger,00:07:37
4,anger,00:08:36
8,anger,00:08:52
1,anger,00:12:23
5,anger,00:09:17
1,anger,00:04:56
5,anger,00:36:10
7,anger,00:07:52
1,anger,00:12:28
2,anger,00:08:51
6,anger,00:06:41
2,anger,00:12:26
1,anger,00:13:51
1,anger,00:07:23
4,anger,00:05:04
8,anger,00:07:15
1,anger,00:04:28
7,anger,00:04:42
3,anger,00:05:47
3,anger,00:04:34
1,anger,00:04:53
1,anger,00:03:59
9,anger,00:19:43
4,anger,00:07:18
2,anger,00:08:36
3,anger,00:07:52
2,anger,00:09:48
9,anger,00:12:46
1,anger,00:10:03
3,anger,00:09:58
2,anger,00:08:16
3,anger,00:09:55
1,anger,00:03:46
3,anger,00:09:01
9,anger,00:10:53
4,anger,00:05:24
2,anger,00:09:12
4,anger,00:07:35
6,anger,00:11:13
4,anger,00:05:07
3,anger,00:14:25
6,anger,00:13:57
6,anger,00:04:54
8,anger,00:08:37
1,anger,00:13:11
6,anger,00:14:09
6,anger,00:05:51
5,anger,00:13:37
3,anger,00:13:00
1,anger,00:08:27
2,anger,00:11:43
6,anger,00:07:50
4,anger,00:07:05
6,anger,00:06:22
8,anger,00:07:19
6,anger,00:13:00
4,anger,00:05:36
5,anger,00:09:49
7,anger,00:10:58
2,anger,00:13:02
2,anger,00:09:16
2,anger,00:05:31
1,anger,00:14:34
2,anger,00:13:33
6,anger,00:32:11
5,anger,00:11:15
1,anger,00:12:50
3,anger,00:05:07
1,anger,00:11:29
1,anger,00:07:10
6,anger,00:08:25
1,anger,00:14:46
3,anger,00:07:38
6,anger,00:06:11
1,anger,00:06:31
6,anger,00:06:49
8,anger,00:26:31
1,anger,00:09:26
1,anger,00:07:41
6,anger,00:12:50
6,anger,00:15:40
3,anger,00:14:53
4,anger,00:06:08
4,anger,00:06:03
4,anger,00:15:06
6,anger,00:09:36
4,anger,00:15:15
4,anger,00:12:12
8,anger,00:04:39
1,anger,00:09:03
7,anger,00:09:49
1,anger,00:03:33
5,anger,00:04:57
1,anger,00:08:20
7,anger,00:17:01
2,anger,00:08:33
3,anger,00:15:09
2,anger,00:06:14
4,anger,00:06:25
4,anger,00:07:37
2,anger,00:09:55
3,anger,00:09:46
4,anger,00:10:16
2,anger,00:12:11
2,anger,00:05:28
2,anger,00:06:59
1,anger,00:05:50
5,anger,00:07:47
3,anger,00:12:46
5,anger,00:07:27
4,anger,00:06:58
6,anger,00:09:32
3,anger,00:04:18
4,anger,00:05:41
2,anger,00:07:13
4,anger,00:05:52
3,anger,00:06:12
3,anger,00:04:54
3,anger,00:08:46
1,anger,00:11:49
5,anger,00:06:04
2,anger,00:10:08
2,anger,00:11:20
2,anger,00:05:55
5,anger,00:06:59
3,anger,00:07:47
1,anger,00:11:09
1,anger,00:08:46
3,anger,00:08:49
2,anger,00:06:13
2,anger,00:05:27
2,anger,00:07:58
3,anger,00:05:54
7,anger,00:05:01
6,anger,00:07:25
1,anger,00:09:33
7,anger,00:15:59
4,anger,00:06:32
7,anger,00:05:33
6,anger,00:08:23
4,anger,00:13:19
1,anger,00:04:47
1,anger,00:07:58
3,anger,00:10:05
2,anger,00:15:34
6,anger,00:10:40
2,anger,00:06:13
1,anger,00:06:12
3,anger,00:13:41
3,anger,00:09:08
7,anger,00:09:02
8,anger,00:08:32
4,anger,00:06:51
1,anger,00:14:39
4,anger,00:06:37
1,anger,00:18:21
2,anger,00:06:04
4,anger,00:07:32
4,anger,00:05:43
9,anger,00:07:46
9,anger,00:05:13
2,anger,00:07:23
1,anger,00:10:36
4,anger,00:04:28
7,anger,00:06:51
2,anger,00:08:48
6,anger,00:15:51
4,anger,00:12:05
4,anger,00:07:41
4,anger,00:06:36
1,anger,00:03:58
1,anger,00:09:36
6,anger,00:05:39
6,anger,00:09:25
6,anger,00:07:39
3,anger,00:09:47
6,anger,00:04:29
1,anger,00:06:50
3,anger,00:06:18
7,anger,00:05:32
3,anger,00:08:09
5,anger,00:08:01
9,anger,00:08:00
2,anger,00:11:52
1,anger,00:10:36
1,anger,00:10:05
1,anger,00:06:04
7,anger,00:04:44
8,anger,00:12:54
8,anger,00:42:06
4,anger,00:10:01
1,anger,00:09:31
3,anger,00:12:09
3,anger,00:06:45
4,anger,00:07:36
3,anger,00:55:46
1,anger,00:08:38
6,anger,00:12:12
3,anger,00:11:29
1,anger,00:10:01
2,anger,00:06:58
3,anger,00:07:50
6,anger,00:14:30
1,anger,00:05:46
6,anger,00:05:49
1,anger,00:09:09
4,anger,00:07:04
6,anger,00:17:42
6,anger,00:07:19
6,anger,00:09:49
1,anger,00:05:05
5,anger,00:26:57
1,anger,00:12:55
4,anger,00:19:08
6,anger,00:07:58
4,anger,00:14:30
2,anger,00:05:06
3,anger,00:06:28
7,anger,00:04:08
7,anger,00:06:37
9,anger,00:07:41
7,anger,00:08:40
3,anger,00:03:30
3,anger,00:08:27
2,anger,00:05:09
3,anger,00:05:48
4,anger,00:08:09
3,anger,00:08:08
3,anger,00:17:17
4,anger,00:04:23
1,anger,00:20:40
8,anger,00:07:44
1,anger,00:16:00
3,anger,00:05:54
6,anger,00:10:26
3,anger,00:09:33
1,anger,00:15:00
3,anger,00:10:25
4,anger,00:09:15
6,anger,00:05:52
1,anger,00:07:23
6,anger,00:04:59
7,anger,00:05:34
2,anger,00:05:03
4,anger,00:09:21
3,anger,00:06:03
3,anger,00:10:57
8,anger,00:08:23
4,anger,00:07:05
6,anger,00:08:09
6,anger,00:07:32
3,anger,00:17:17
2,anger,00:07:16
4,anger,00:11:32
2,anger,00:04:55
5,anger,00:16:17
6,anger,00:09:05
6,anger,00:08:42
6,anger,00:05:28
1,anger,00:11:04
7,anger,00:07:00
2,anger,00:06:32
4,anger,00:07:34
2,anger,00:05:34
1,anger,00:18:31
6,anger,00:08:10
7,anger,00:10:04
4,anger,00:18:22
6,anger,00:10:06
5,anger,00:05:58
1,anger,00:08:16
2,anger,00:08:16
7,anger,00:15:20
5,anger,00:31:01
4,anger,00:34:31
2,anger,00:07:39
4,anger,00:15:02
2,anger,00:08:32
6,anger,00:08:31
1,anger,00:18:58
1,anger,00:08:04
8,anger,00:11:22
7,anger,00:10:42
1,anger,00:16:57
1,anger,00:12:33
6,anger,00:14:08
7,anger,00:09:27
6,anger,00:12:13
2,anger,00:16:16
1,anger,00:11:58
3,anger,00:10:08
1,anger,00:16:43
3,anger,00:12:43
6,anger,00:10:27
1,anger,00:13:24
1,anger,00:17:52
3,anger,00:17:16
2,anger,00:06:07
7,anger,00:37:38
5,anger,00:06:48
2,anger,00:07:18
1,anger,00:22:47
6,anger,00:08:20
4,anger,00:21:28
1,anger,00:27:18
6,anger,00:13:41
5,anger,00:28:39
2,anger,00:15:06
5,anger,00:06:32
6,anger,00:05:53
6,anger,00:06:31
6,anger,00:07:48
1,anger,00:04:50
6,anger,00:13:34
2,anger,00:03:42
7,anger,00:04:24
8,anger,00:05:00
5,anger,00:04:19
6,anger,00:05:23
5,anger,00:05:50
4,anger,00:05:54
5,anger,00:04:10
5,anger,00:06:09
4,anger,00:07:23
1,anger,00:04:32
4,anger,00:06:40
3,anger,00:04:55
4,anger,00:06:46
6,anger,00:06:37
2,anger,00:05:29
6,anger,00:07:34
7,anger,00:03:41
7,anger,00:08:07
1,anger,00:08:15
3,anger,00:06:47
3,anger,00:05:25
1,anger,00:07:10
5,anger,00:06:27
1,anger,00:05:43
3,anger,00:09:31
3,anger,00:05:15
4,anger,00:06:25
6,anger,00:07:09
2,anger,00:06:57
2,anger,00:09:32
9,anger,00:05:07
4,anger,00:09:16
2,anger,00:04:55
6,anger,00:07:04
6,anger,00:04:36
6,anger,00:06:57
7,anger,00:06:26
4,anger,00:05:00
2,anger,00:03:59
4,anger,00:05:42
2,anger,00:08:29
4,anger,00:06:28
1,anger,00:08:04
2,anger,00:06:59
1,anger,00:05:48
6,anger,00:06:37
6,anger,00:07:37
2,anger,00:04:27
2,anger,00:06:53
9,anger,00:07:15
8,anger,00:06:50
6,anger,00:04:17
1,anger,00:08:16
3,anger,00:07:40
2,anger,00:07:55
2,anger,00:04:46
7,anger,00:06:40
4,anger,00:06:47
5,anger,00:07:03
4,anger,00:10:25
3,anger,00:06:20
3,anger,00:05:08
4,anger,00:08:38
7,anger,00:10:14
7,anger,00:07:57
2,anger,00:04:40
3,anger,00:07:19
6,anger,00:10:20
6,anger,00:06:33
2,anger,00:07:56
1,anger,00:04:27
4,anger,00:04:59
5,anger,00:08:27
8,anger,00:05:19
1,anger,00:05:31
3,anger,00:07:53
2,anger,00:05:21
2,anger,00:09:20
4,anger,00:04:19
4,anger,00:06:37
2,anger,00:10:00
4,anger,00:06:03
1,anger,00:09:16
2,anger,00:07:21
6,anger,00:05:18
1,anger,00:10:10
4,anger,00:07:16
2,anger,00:52:48
3,anger,00:06:08
2,anger,00:06:33
4,anger,00:12:42
6,anger,00:06:37
3,anger,00:08:05
6,anger,00:05:21
6,anger,00:09:20
2,anger,00:06:39
4,anger,00:05:49
6,anger,00:07:05
6,anger,00:07:46
1,anger,00:06:46
4,anger,00:07:10
4,anger,00:10:53
1,anger,00:06:59
2,anger,00:10:23
6,anger,00:05:47
4,anger,00:12:54
4,anger,00:06:53
4,anger,00:08:42
3,anger,00:06:20
7,anger,00:06:57
4,anger,00:09:32
2,anger,00:08:04
2,anger,00:09:18
2,anger,00:09:45
7,anger,00:05:34
8,anger,00:10:57
1,anger,00:08:51
6,anger,00:05:01
7,anger,00:08:39
1,anger,00:08:42
1,anger,00:08:10
3,anger,00:07:53
5,anger,00:07:58
2,anger,00:10:39
4,anger,00:05:41
7,anger,01:33:04
6,anger,00:11:01
3,anger,00:07:51
3,anger,00:05:24
2,anger,00:11:48
8,anger,00:11:25
6,anger,00:04:53
4,anger,00:05:28
7,anger,00:15:02
2,anger,00:04:33
6,anger,00:03:42
5,anger,00:14:38
3,anger,00:10:18
2,anger,00:07:37
2,anger,00:05:35
7,anger,00:27:06
2,anger,00:10:15
4,anger,00:07:35
5,anger,00:13:45
2,anger,00:04:49
6,anger,00:15:22
5,anger,00:06:30
5,anger,00:08:11
3,anger,00:07:53
4,anger,00:04:26
8,anger,00:06:12
6,anger,00:07:45
1,anger,00:07:49
7,anger,00:10:56
3,anger,00:07:18
6,anger,00:07:22
2,anger,00:07:26
5,anger,00:07:08
4,anger,00:05:17
3,anger,00:13:31
3,anger,00:09:30
3,anger,00:09:31
1,anger,00:13:45
6,anger,00:12:20
2,anger,00:08:35
2,anger,00:09:57
7,anger,00:06:30
6,anger,00:07:38
6,anger,00:06:13
5,anger,00:08:33
6,anger,00:09:03
4,anger,00:06:16
3,anger,00:06:15
7,anger,00:11:08
5,anger,00:08:20
3,anger,00:13:56
5,anger,00:08:28
4,anger,00:08:52
8,anger,00:10:05
1,anger,00:07:50
6,anger,00:06:08
1,anger,00:13:45
3,anger,00:06:20
5,anger,00:09:27
6,anger,00:04:56
1,anger,00:12:53
2,anger,00:05:13
3,anger,00:11:55
4,anger,00:05:57
2,anger,00:11:10
9,anger,00:08:36
2,anger,00:08:58
2,anger,00:07:36
8,anger,00:06:51
1,anger,00:14:56
1,anger,00:07:56
9,anger,00:07:18
2,anger,00:17:54
7,anger,00:08:27
2,anger,00:10:21
3,anger,00:09:10
4,anger,00:09:22
3,anger,00:11:47
2,anger,00:07:41
8,anger,00:12:40
7,anger,00:05:50
2,anger,00:12:51
1,anger,00:13:24
8,anger,00:06:15
2,anger,00:07:19
6,anger,00:04:40
3,anger,00:09:00
5,anger,00:08:50
2,anger,00:07:24
4,anger,00:10:34
1,anger,00:11:33
2,anger,00:13:31
3,anger,00:05:04
5,anger,00:06:25
7,anger,00:06:03
6,anger,00:12:00
7,anger,00:07:06
6,anger,00:12:05
2,anger,00:11:31
5,anger,00:05:32
8,anger,00:06:01
8,anger,00:05:55
2,anger,00:07:54
2,anger,00:14:46
2,anger,00:06:27
2,anger,00:11:35
9,anger,00:05:49
9,anger,00:15:13
6,anger,00:05:14
2,anger,00:05:39
6,anger,00:07:33
2,anger,00:07:33
5,anger,00:12:22
7,anger,00:17:43
6,anger,00:08:36
4,anger,00:08:00
2,anger,00:12:28
6,anger,00:07:43
2,anger,00:13:58
4,anger,00:09:25
2,anger,00:06:19
1,anger,00:07:52
6,anger,00:06:05
3,anger,00:09:36
1,anger,00:07:56
7,anger,00:06:31
7,anger,00:12:12
3,anger,00:11:00
2,anger,00:06:06
4,anger,00:07:52
3,anger,00:06:18
7,anger,00:14:55
1,anger,00:14:54
8,anger,00:10:56
1,anger,00:05:13
1,anger,00:17:46
3,anger,00:05:31
6,anger,00:09:33
4,anger,00:05:03
2,anger,00:05:26
3,anger,00:13:50
1,anger,00:17:50
8,anger,00:10:15
1,anger,00:14:28
1,anger,00:20:25
7,anger,00:06:38
1,anger,00:06:50
1,anger,00:07:20
7,anger,00:08:36
8,anger,00:15:38
1,anger,00:12:10
